,BICYCLE_IND,PEDESTRIAN_IND,ROAD_DESCRIPTION_AT INTERSECTION,ROAD_DESCRIPTION_PARKING LOT,LIGHT_CONDITION_DARK-LIGHTED,LIGHT_CONDITION_DAY LIGHT
1900,0.0,0.0,0.0,0.0,1.0,0.0
33714,0.0,0.0,0.0,0.0,0.0,1.0
66046,0.0,0.0,0.0,0.0,1.0,0.0
99200,0.0,0.0,1.0,0.0,0.0,1.0
323,0.0,0.0,1.0,0.0,0.0,1.0
5586,0.0,0.0,0.0,0.0,1.0,0.0
158222,0.0,0.0,0.0,0.0,1.0,0.0
146864,0.0,0.0,1.0,0.0,0.0,1.0
26928,0.0,0.0,0.0,0.0,0.0,1.0
144659,0.0,0.0,0.0,0.0,0.0,1.0
62475,0.0,0.0,0.0,1.0,1.0,0.0
88807,0.0,0.0,0.0,0.0,0.0,1.0
126201,0.0,0.0,1.0,0.0,0.0,1.0
154926,0.0,0.0,0.0,0.0,1.0,0.0
6087,0.0,0.0,0.0,0.0,0.0,1.0
155185,0.0,0.0,0.0,0.0,1.0,0.0
90103,0.0,0.0,0.0,0.0,0.0,1.0
36259,0.0,0.0,1.0,0.0,0.0,1.0
50481,0.0,0.0,0.0,0.0,1.0,0.0
66711,0.0,0.0,0.0,0.0,0.0,0.0
57523,0.0,0.0,0.0,1.0,1.0,0.0
122317,0.0,0.0,0.0,0.0,0.0,1.0
6991,0.0,0.0,0.0,0.0,0.0,1.0
130548,0.0,0.0,0.0,0.0,1.0,0.0
65433,0.0,0.0,0.0,0.0,0.0,1.0
104898,0.0,0.0,0.0,0.0,0.0,1.0
116007,0.0,0.0,1.0,0.0,0.0,0.0
125611,0.0,0.0,0.0,0.0,0.0,1.0
78777,0.0,0.0,0.0,0.0,0.0,1.0
136983,0.0,0.0,0.0,0.0,0.0,1.0
146593,0.0,0.0,0.0,0.0,0.0,0.0
86383,0.0,0.0,0.0,0.0,0.0,1.0
144836,0.0,0.0,0.0,0.0,0.0,1.0
86163,0.0,0.0,0.0,0.0,0.0,1.0
127060,0.25,0.0,0.0,0.0,0.0,1.0
23814,0.0,0.0,1.0,0.0,0.0,1.0
48603,0.0,0.0,1.0,0.0,0.0,1.0
27244,0.0,0.0,0.0,0.0,0.0,1.0
65197,0.0,0.0,0.0,0.0,0.0,1.0
119015,0.0,0.0,1.0,0.0,0.0,1.0
115969,0.0,0.0,0.0,0.0,0.0,1.0
45947,0.0,0.0,0.0,0.0,0.0,1.0
157771,0.0,0.0,1.0,0.0,0.0,1.0
116807,0.0,0.0,1.0,0.0,0.0,0.0
101312,0.0,0.0,0.0,0.0,0.0,1.0
30584,0.0,0.0,1.0,0.0,0.0,1.0
40572,0.0,0.0,1.0,0.0,0.0,1.0
41453,0.0,0.0,1.0,0.0,0.0,1.0
18098,0.0,0.0,0.0,0.0,0.0,1.0
89622,0.0,0.0,0.0,0.0,0.0,1.0
24359,0.0,0.0,0.0,0.0,1.0,0.0
51601,0.0,0.0,0.0,1.0,0.0,1.0
